,date,open,high,low,close,volume,oi
162,2021-05-12 10:15:00+05:30,484.65,488.0,460.05,479.2,24650,168575
163,2021-05-12 10:20:00+05:30,479.95,510.0,479.2,510.0,45000,174250
164,2021-05-12 10:25:00+05:30,510.0,511.0,489.95,506.85,35950,176000
165,2021-05-12 10:30:00+05:30,508.05,517.7,495.0,502.1,17275,176925
166,2021-05-12 10:35:00+05:30,502.1,505.0,482.0,487.2,12900,177550
167,2021-05-12 10:40:00+05:30,487.2,502.95,486.05,487.85,13525,181675
168,2021-05-12 10:45:00+05:30,487.85,489.65,472.2,483.55,20350,182625
169,2021-05-12 10:50:00+05:30,483.55,499.3,482.05,495.0,13350,184600
170,2021-05-12 10:55:00+05:30,495.0,496.7,482.7,484.65,12300,186600
171,2021-05-12 11:00:00+05:30,484.65,497.9,484.0,488.25,14550,189375
172,2021-05-12 11:05:00+05:30,488.75,539.65,471.85,537.55,32650,192550
173,2021-05-12 11:10:00+05:30,536.3,558.35,531.05,553.0,59300,196750
174,2021-05-12 11:15:00+05:30,550.45,590.05,541.0,580.65,60500,198075
175,2021-05-12 11:20:00+05:30,580.8,586.8,539.6,545.3,39200,193700
176,2021-05-12 11:25:00+05:30,546.25,549.8,521.85,528.7,23725,192725
177,2021-05-12 11:30:00+05:30,525.0,543.55,520.85,522.25,17125,194800
178,2021-05-12 11:35:00+05:30,518.05,527.6,506.1,514.2,15900,194075
179,2021-05-12 11:40:00+05:30,514.2,526.0,510.05,514.5,16900,194100
180,2021-05-12 11:45:00+05:30,514.5,514.7,465.0,474.45,44525,196425
181,2021-05-12 11:50:00+05:30,472.4,478.85,461.75,463.1,24400,201775
182,2021-05-12 11:55:00+05:30,463.1,483.1,453.05,471.0,24250,204600
183,2021-05-12 12:00:00+05:30,471.0,486.45,456.85,475.0,19850,209125
184,2021-05-12 12:05:00+05:30,475.0,475.1,426.05,435.0,42525,212700
185,2021-05-12 12:10:00+05:30,432.25,440.05,420.6,424.2,29275,217750
186,2021-05-12 12:15:00+05:30,424.05,441.6,420.0,438.0,17825,220400
187,2021-05-12 12:20:00+05:30,435.9,440.0,427.25,433.95,12075,222925
188,2021-05-12 12:25:00+05:30,433.95,434.4,396.3,401.45,49575,224175
189,2021-05-12 12:30:00+05:30,404.0,427.45,399.55,426.15,17050,222500
190,2021-05-12 12:35:00+05:30,425.0,437.95,414.0,417.0,21125,221700
191,2021-05-12 12:40:00+05:30,417.75,439.95,409.65,437.35,21175,225125
192,2021-05-12 12:45:00+05:30,438.5,442.0,423.85,432.0,19825,221325
193,2021-05-12 12:50:00+05:30,432.0,443.0,426.75,433.0,13000,221625
